"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"1","2019","01001","País Vasco","Araba / Álava",2.89752650176678,"Rural areas",4.97110424290784,15.17,11.0570236439499,6.78025034770515,32.3395654370894,14299,7.1
"3","2019","01002","País Vasco","Araba / Álava",2.47476392054705,"Cities and suburbs",4.67677377739415,31.17,20.1352657004831,4.66666666666667,29.5667159034958,14892,11.8
"5","2019","01003","País Vasco","Araba / Álava",0.668896321070234,"Rural areas",2.99698197359779,23.05,20.3817314246762,1.43149284253579,34.2857142857143,18177,1.7
"7","2019","01004","País Vasco","Araba / Álava",2.01005025125628,"Rural areas",4.20071859223716,48.28,16.0900604063701,5.54640307523339,27.9485346676197,13622,8.4
"9","2019","01006","País Vasco","Araba / Álava",10.4,"Rural areas",2.8656390166386,20.74,13.6563876651982,1.3215859030837,20,15531,5.8
"11","2019","01008","País Vasco","Araba / Álava",1.94003527336861,"Rural areas",2.83733325131075,10.19,17.8571428571429,1.83673469387755,34.7328244274809,19252,4.1
"13","2019","01009","País Vasco","Araba / Álava",1.43171806167401,"Rural areas",3.2069222080037,32.77,18.9591078066914,5.88599752168525,32.8853754940711,15295,7.9
"15","2019","01010","País Vasco","Araba / Álava",1.99316628701595,"Rural areas",3.05073800900625,40.5,16.3080026899798,0.874243443174176,28.4391534391534,14854,6.4
"17","2019","01011","País Vasco","Araba / Álava",4.65116279069767,"Rural areas",3.42631402422412,36.41,26.8041237113402,2.74914089347079,25.9574468085106,12140,3.2
"19","2019","01013","País Vasco","Araba / Álava",0.412371134020619,"Rural areas",2.20425849361325,17.32,17.8935447338618,1.58550396375991,36.2359550561798,17078,3.7
"21","2019","01014","País Vasco","Araba / Álava",6.66666666666667,"Rural areas",2.53986034835019,21.35,29.3598233995585,4.41501103752759,24.5283018867924,13169,6.5
"23","2019","01016","País Vasco","Araba / Álava",2.21238938053097,"Rural areas",1.33158951375669,21.97,28.1376518218623,3.64372469635628,47.3441108545035,15548,5.6
"25","2019","01017","País Vasco","Araba / Álava",1.57342657342657,"Rural areas",2.50007229667132,32.36,22.5,6.15384615384615,32.7444051825677,14141,6.5
"27","2019","01018","País Vasco","Araba / Álava",2.53292806484296,"Rural areas",2.83998826403404,13.59,18.4315970234688,1.37378362907842,32.2510822510823,18779,3.7
"29","2019","01019","País Vasco","Araba / Álava",0,"Rural areas",2.66585379465594,31.71,24.4444444444444,1.11111111111111,29.3333333333333,13145,3.6
"31","2019","01020","País Vasco","Araba / Álava",1.68776371308017,"Rural areas",1.498358553442,20.84,23.1382978723404,2.65957446808511,27.5229357798165,17502,6.7
"33","2019","01021","País Vasco","Araba / Álava",6.68693009118541,"Rural areas",2.92660589958613,11.82,12.0200333889816,2.00333889816361,34.46088794926,16458,3.8
"35","2019","01022","País Vasco","Araba / Álava",3.36879432624113,"Rural areas",4.12018013089966,38.47,22.2885572139303,3.681592039801,30.375,13991,6.6
"37","2019","01023","País Vasco","Araba / Álava",3.44827586206897,"Rural areas",2.94580613598685,34.23,25.2252252252252,3.003003003003,29.9625468164794,13298,4.4
"39","2019","01027","País Vasco","Araba / Álava",1.71821305841924,"Rural areas",2.39518511354177,20.19,16.247582205029,1.35396518375242,38.2211538461538,16753,3.9
"41","2019","01028","País Vasco","Araba / Álava",3.66013071895425,"Rural areas",3.63862644315911,28.96,18.4573002754821,7.36914600550964,33.0841121495327,12309,9.6
"43","2019","01030","País Vasco","Araba / Álava",0,"Rural areas",1.2359117460595,26.28,37.5796178343949,1.91082802547771,17.3076923076923,15606,5.9
"45","2019","01031","País Vasco","Araba / Álava",4.88069414316703,"Rural areas",2.91371266193797,34.35,20.281124497992,6.49263721552878,24.5508982035928,14476,5.7
"47","2019","01032","País Vasco","Araba / Álava",2.21606648199446,"Rural areas",3.35190420582891,37.35,22.7206946454414,13.3140376266281,30.174081237911,11563,12.3
"49","2019","01033","País Vasco","Araba / Álava",1.90839694656489,"Rural areas",4.97302186789357,40.67,19.0751445086705,6.47398843930636,25.652841781874,12178,9.2
"51","2019","01034","País Vasco","Araba / Álava",2.75229357798165,"Rural areas",3.01848888401884,31.29,24.6305418719212,9.35960591133005,22.9813664596273,14258,5.6
"53","2019","01036","País Vasco","Araba / Álava",1.92938091224127,"Cities and suburbs",6.1778704215747,39.8,24.096784885648,4.36968290796597,32.7850217318623,15173,10.4
"55","2019","01037","País Vasco","Araba / Álava",0.471698113207547,"Rural areas",1.77447824981717,22.82,23.1404958677686,1.92837465564738,29.9829642248722,NA,4.3
"57","2019","01039","País Vasco","Araba / Álava",0.65359477124183,"Rural areas",3.23818248652619,42.28,23.9819004524887,5.88235294117647,25.8373205741627,15356,6
"59","2019","01041","País Vasco","Araba / Álava",5.94059405940594,"Rural areas",3.11040607048336,34.83,19,1.5,30.8724832214765,12232,1.5
